entrez	degree	betweenness
10499	33	0.00042436065612224614
3665	6	0.0
2034	20	0.0009656220963952562
7014	8	0.0004283200139510816
7013	9	0.0002599847631363759
30827	16	0.00015668978696920782
29117	16	1.5997759366421522e-05
1108	159	0.009015134254533175
6599	13	0.00010300132109940336
6601	13	0.00015452120987909714
3014	66	0.004166436382826107
9535	2	0.00022735023303398886
9031	21	7.764489799074653e-05
1107	141	0.007537087030040312
79142	2	0.0
51773	17	5.1396893912087426e-05
10155	75	0.002192252978031135
6597	48	0.0015805660454100243
3662	6	9.272322005771797e-05
2648	9	1.1069663383875414e-05
6612	26	0.0005972292509355954
25842	10	9.95023805839818e-05
4547	3	1.2923501195656483e-08
338	5	2.8911697753674235e-06
64714	4	1.7682570246138383e-05
5034	38	0.0023316517726852137
9601	34	0.002137772930783298
409	43	0.000931165310725809
408	30	0.00020570430862694488
4985	38	4.605743411122727e-05
554	7	2.395224636863949e-05
3973	11	7.082608310744175e-05
5724	16	6.75306376612457e-05
1815	35	3.6488719871869e-05
185	19	0.00017192028875218305
6295	7	1.1807020227579201e-06
407	10	1.7499899302732915e-05
3061	14	8.857374849336719e-06
728	33	0.00025885139766859764
57561	8	9.3444403306822e-05
91947	5	6.196510764079457e-06
153	8	5.482612492582717e-06
1909	14	9.218382643175882e-06
6915	21	3.6413072570306574e-05
154	37	0.0014058614143041817
9290	30	0.00021471031797460016
6010	9	0.00014137778603452912
5732	5	5.066355808308403e-06
5734	5	2.5953180327192405e-05
165140	28	2.083025891769013e-05
4157	7	0.00031400740103914606
1813	42	0.00011160567705325397
11318	8	5.0781726922727647e-05
4142	2	6.54698261508038e-08
2861	12	1.3938577651251925e-05
59350	16	0.000770325642939573
3356	18	6.3130553349703175e-06
1128	14	9.218382643175882e-06
4923	20	0.00026787561855040295
2149	23	7.097524220951615e-05
7852	46	0.0008621446044573378
2827	3	6.494630783146142e-06
5021	14	4.794892760954136e-06
3358	23	0.00010017951816225505
187	32	0.0002243162275549995
5900	20	2.7017156833450827e-05
6016	15	0.0001144963298146806
22808	13	1.967028782032312e-05
3265	234	0.013037400570528037
10256	30	0.0002197597690123386
3845	296	0.02076727928171978
5906	53	0.0015728294391424524
5912	14	0.0001019669275034003
9610	13	1.0507466420101368e-05
6237	24	9.650413737474997e-05
9693	15	9.258444641029222e-05
5908	39	0.0010362938863445613
